current_ratio,debt_to_equity,net_profit_margin,company_age,target
1.617208866,-11.42084691,0.066191392,5.0,0
3.596585232,-5.229021084,0.042063362,5.0,1
3.274540247,-14.71234795,0.028234856,5.0,1
1.298714653,4.042269832,0.068839476,5.0,0
1.007819288,4.165058405,0.081009913,5.0,0
1.289473684,4.227520436,0.066443794,5.0,0
1.097091531,4.4332893,0.0638167,5.0,1
1.347801892,4.363494051,0.061090676,5.0,0
0.858757062,4.083940748,0.086107204,5.0,0
2.172892679,4.013452185,0.124980832,5.0,0
1.686754445,4.028567927,0.115217912,5.0,0
2.169258241,3.815938703,0.0692521,5.0,0
1.198651079,6.358275722,0.065721593,5.0,0
1.109521238,9.903823529,0.079254386,5.0,0
1.152308458,14.86309332,0.078145322,5.0,0
1.161912613,36.87012987,0.057098002,5.0,0
1.13986014,990.2051282,0.058178967,5.0,0
1.374159602,0.78386037,-0.627323718,5.0,0
1.342542092,0.610235125,0.24138213,5.0,0
1.682799612,0.609285163,0.031897266,5.0,0
1.452371964,0.596065922,0.282843895,5.0,0
1.324740648,1.005349584,-0.056888008,5.0,0
0.617420442,2.278475156,0.125093443,5.0,0
0.624339782,2.277287909,0.11387082,5.0,0
0.64474276,2.220594259,0.117544928,5.0,0
1.311148517,1.517932036,0.034164003,5.0,0
1.641815235,0.885339238,0.036225653,5.0,0
1.365585747,0.956162074,0.033322092,5.0,0
1.555202409,0.69622349,0.032315593,5.0,0
1.439593909,0.748143433,0.031486279,5.0,0
1.182552381,1.564811295,0.029950542,5.0,0
2.062056738,1.133627667,0.066010083,5.0,0
3.303921569,1.53714178,0.246656761,5.0,0
1.735772358,2.093857494,0.054540303,5.0,0
2.484571429,1.564386938,0.071448743,5.0,0
2.194473964,1.955195871,0.053249678,5.0,1
2.590316986,0.807681983,-0.063556066,5.0,1
2.153670544,0.975348456,-0.104808561,5.0,1
2.804338922,0.832359875,0.053926171,5.0,0
3.677651837,0.647698135,0.058616152,5.0,0
3.080376539,0.879095585,0.060884058,5.0,1
6.033708238,0.61329175,0.050448081,5.0,0
4.305053628,0.915515725,0.037622243,5.0,0
1.445475638,1.294547553,0.10238626,5.0,0
1.285427017,1.389267714,0.087500509,5.0,0
1.419599047,1.313550267,0.08061609,5.0,0
0.686591276,0.841397849,0.117186978,5.0,0
0.740405432,0.93108352,0.097527896,5.0,0
0.733727811,0.828999534,0.192775815,5.0,0
1.048869605,0.713177926,0.270563155,5.0,0
1.497975709,0.741551232,-0.376045044,5.0,1
0.821487603,-8.699781659,-1.478984603,5.0,1
0.585399449,-12.40754039,0.180349063,5.0,1
0.773730684,3.786288778,-0.343637671,5.0,1
1.695652174,4.279680365,0.141281875,5.0,1
2.700581395,3.68833214,0.128160484,5.0,1
1.492674986,4.385252304,0.141595972,5.0,1
0.851411982,3.866902427,0.110440798,5.0,1
2.150902132,4.274198337,0.181273355,5.0,0
0.852488864,1.638135237,0.054411549,5.0,0
0.697346864,1.607550157,0.058129932,5.0,0
0.601819552,1.412010781,0.093281387,5.0,0
0.753394278,1.724842088,0.056827709,5.0,0
1.495044179,1.328093593,0.1621342,5.0,1
1.570184984,1.426365141,0.117575758,5.0,0
2.370426829,1.112306658,0.076079948,5.0,0
2.165079365,1.102986612,0.054565396,5.0,0
2.376417234,1.491896272,-0.116335772,5.0,0
1.771327014,1.169656586,0.044181346,5.0,0
2.736180905,1.389324961,0.061800083,5.0,0
1.504957635,1.25757295,0.029538744,5.0,0
1.339955617,1.306967396,0.018450622,5.0,0
1.627406719,1.103030303,0.042707754,5.0,0
1.4876653,1.268701595,0.021713793,5.0,0
1.439032206,1.313983153,0.022980051,5.0,0
1.246692393,1.060972744,0.118838657,5.0,0
0.978716981,0.973269005,0.1526976,5.0,0
0.930109308,0.951187849,0.161097762,5.0,0
0.735147613,1.124539794,0.150796257,5.0,0
0.81933488,1.333488516,0.118838657,5.0,0
0.826891975,0.993115061,0.074340281,5.0,0
0.818622066,1.003985115,0.078943727,5.0,0
0.789665777,0.971524082,0.060063522,5.0,0
3.727423915,0.240113355,0.300789066,5.0,0
3.143345644,0.647649317,0.242209391,5.0,0
1.220692928,1.95749821,0.15210356,5.0,0
1.519467213,2.002999657,0.166624333,5.0,0
1.066235249,2.396023106,0.158132018,5.0,0
1.092296241,2.48051488,0.155156263,5.0,0
1.073432343,2.025704494,0.154997505,5.0,0
1.219117647,2.028390628,0.15484687,5.0,0
1.125344896,2.234597701,0.146953742,5.0,0
2.726621568,1.15175613,0.072273995,5.0,0
2.561278259,0.9819266,0.106480073,5.0,0
4.032282142,1.389212262,-0.028392502,5.0,0
2.809269595,0.793983937,0.1143421,5.0,0
1.725082147,-20.45405405,0.083820663,5.0,1
1.433680104,-6.930049261,0.071995411,5.0,0
1.924955331,418.1111111,0.090972586,5.0,0
1.972081218,1.135369532,0.026975684,5.0,0
2.929478138,1.256649892,0.016879985,5.0,1
2.701117318,0.974764468,0.065039202,5.0,0
1.803455724,1.140138408,0.077476182,5.0,0
2.658311346,1.128258603,0.03137541,5.0,0
